	condition
inf_5dpf_wt_rep1	inf_5dpf_wt
inf_5dpf_wt_rep2	inf_5dpf_wt
inf_5dpf_wt_rep3	inf_5dpf_wt
inf_5dpf_wt_rep4	inf_5dpf_wt
inf_5dpf_wt_rep5	inf_5dpf_wt
inf_5dpf_wt_rep6	inf_5dpf_wt
inf_5dpf_het_rep1	inf_5dpf_het
inf_5dpf_het_rep2	inf_5dpf_het
inf_5dpf_het_rep3	inf_5dpf_het
inf_5dpf_het_rep4	inf_5dpf_het
inf_5dpf_het_rep5	inf_5dpf_het
inf_5dpf_het_rep6	inf_5dpf_het
inf_5dpf_hom_rep1	inf_5dpf_hom
inf_5dpf_hom_rep2	inf_5dpf_hom
inf_5dpf_hom_rep3	inf_5dpf_hom
inf_5dpf_hom_rep4	inf_5dpf_hom
inf_5dpf_hom_rep5	inf_5dpf_hom
inf_5dpf_hom_rep6	inf_5dpf_hom
inf_5dpf_hom_rep7	inf_5dpf_hom
inf_5dpf_hom_rep8	inf_5dpf_hom
inf_5dpf_hom_rep9	inf_5dpf_hom
inf_5dpf_hom_rep10	inf_5dpf_hom
inf_5dpf_hom_rep11	inf_5dpf_hom
inf_5dpf_hom_rep12	inf_5dpf_hom
uninf_3dpf_wt_rep1	uninf_3dpf_wt
uninf_3dpf_wt_rep2	uninf_3dpf_wt
uninf_3dpf_wt_rep3	uninf_3dpf_wt
uninf_3dpf_wt_rep4	uninf_3dpf_wt
uninf_3dpf_wt_rep5	uninf_3dpf_wt
uninf_3dpf_wt_rep6	uninf_3dpf_wt
uninf_3dpf_het_rep1	uninf_3dpf_het
uninf_3dpf_het_rep2	uninf_3dpf_het
uninf_3dpf_het_rep3	uninf_3dpf_het
uninf_3dpf_het_rep4	uninf_3dpf_het
uninf_3dpf_het_rep5	uninf_3dpf_het
uninf_3dpf_het_rep6	uninf_3dpf_het
uninf_3dpf_hom_rep1	uninf_3dpf_hom
uninf_3dpf_hom_rep2	uninf_3dpf_hom
uninf_3dpf_hom_rep3	uninf_3dpf_hom
uninf_3dpf_hom_rep4	uninf_3dpf_hom
uninf_3dpf_hom_rep5	uninf_3dpf_hom
uninf_3dpf_hom_rep6	uninf_3dpf_hom
uninf_3dpf_hom_rep7	uninf_3dpf_hom
uninf_3dpf_hom_rep8	uninf_3dpf_hom
uninf_3dpf_hom_rep9	uninf_3dpf_hom
uninf_3dpf_hom_rep10	uninf_3dpf_hom
uninf_3dpf_hom_rep11	uninf_3dpf_hom
uninf_3dpf_hom_rep12	uninf_3dpf_hom
uninf_5dpf_wt_rep1	uninf_5dpf_wt
uninf_5dpf_wt_rep2	uninf_5dpf_wt
uninf_5dpf_wt_rep3	uninf_5dpf_wt
uninf_5dpf_wt_rep4	uninf_5dpf_wt
uninf_5dpf_wt_rep5	uninf_5dpf_wt
uninf_5dpf_wt_rep6	uninf_5dpf_wt
uninf_5dpf_het_rep1	uninf_5dpf_het
uninf_5dpf_het_rep2	uninf_5dpf_het
uninf_5dpf_het_rep3	uninf_5dpf_het
uninf_5dpf_het_rep4	uninf_5dpf_het
uninf_5dpf_het_rep5	uninf_5dpf_het
uninf_5dpf_het_rep6	uninf_5dpf_het
uninf_5dpf_hom_rep1	uninf_5dpf_hom
uninf_5dpf_hom_rep2	uninf_5dpf_hom
uninf_5dpf_hom_rep3	uninf_5dpf_hom
uninf_5dpf_hom_rep4	uninf_5dpf_hom
uninf_5dpf_hom_rep5	uninf_5dpf_hom
uninf_5dpf_hom_rep6	uninf_5dpf_hom
uninf_5dpf_hom_rep7	uninf_5dpf_hom
uninf_5dpf_hom_rep8	uninf_5dpf_hom
uninf_5dpf_hom_rep9	uninf_5dpf_hom
uninf_5dpf_hom_rep10	uninf_5dpf_hom
uninf_5dpf_hom_rep11	uninf_5dpf_hom
uninf_5dpf_hom_rep12	uninf_5dpf_hom
uninf_7dpf_wt_rep1	uninf_7dpf_wt
uninf_7dpf_wt_rep2	uninf_7dpf_wt
uninf_7dpf_wt_rep3	uninf_7dpf_wt
uninf_7dpf_wt_rep4	uninf_7dpf_wt
uninf_7dpf_wt_rep5	uninf_7dpf_wt
uninf_7dpf_wt_rep6	uninf_7dpf_wt
uninf_7dpf_het_rep1	uninf_7dpf_het
uninf_7dpf_het_rep2	uninf_7dpf_het
uninf_7dpf_het_rep3	uninf_7dpf_het
uninf_7dpf_het_rep4	uninf_7dpf_het
uninf_7dpf_het_rep5	uninf_7dpf_het
uninf_7dpf_het_rep6	uninf_7dpf_het
uninf_7dpf_hom_rep1	uninf_7dpf_hom
uninf_7dpf_hom_rep2	uninf_7dpf_hom
uninf_7dpf_hom_rep3	uninf_7dpf_hom
uninf_7dpf_hom_rep4	uninf_7dpf_hom
uninf_7dpf_hom_rep5	uninf_7dpf_hom
uninf_7dpf_hom_rep6	uninf_7dpf_hom
uninf_7dpf_hom_rep7	uninf_7dpf_hom
uninf_7dpf_hom_rep8	uninf_7dpf_hom
uninf_7dpf_hom_rep9	uninf_7dpf_hom
uninf_7dpf_hom_rep10	uninf_7dpf_hom
uninf_7dpf_hom_rep11	uninf_7dpf_hom
uninf_7dpf_hom_rep12	uninf_7dpf_hom
