edge	PearsonCor
ENSDARG00000004735 (geneExprCor) ENSDARG00000004588	0.872901941169768
ENSDARG00000004874 (geneExprCor) ENSDARG00000000887	0.868319564314245
ENSDARG00000005551 (geneExprCor) ENSDARG00000004735	0.857732453685498
ENSDARG00000006719 (geneExprCor) ENSDARG00000004588	0.820217972535018
ENSDARG00000006719 (geneExprCor) ENSDARG00000006124	0.870583057797686
ENSDARG00000007601 (geneExprCor) ENSDARG00000000887	0.89348850949895
ENSDARG00000007601 (geneExprCor) ENSDARG00000004874	0.864406551872038
ENSDARG00000007960 (geneExprCor) ENSDARG00000004735	0.880307192854524
ENSDARG00000007960 (geneExprCor) ENSDARG00000005551	0.815729908054327
ENSDARG00000007960 (geneExprCor) ENSDARG00000005774	0.809719975429086
ENSDARG00000011510 (geneExprCor) ENSDARG00000003920	0.801983151866758
ENSDARG00000011932 (geneExprCor) ENSDARG00000000887	0.850790143038456
ENSDARG00000011932 (geneExprCor) ENSDARG00000004874	0.800720729633491
ENSDARG00000011932 (geneExprCor) ENSDARG00000007601	0.929073206648489
ENSDARG00000011932 (geneExprCor) ENSDARG00000011851	0.857765505150923
ENSDARG00000012820 (geneExprCor) ENSDARG00000004588	0.80050303652443
ENSDARG00000012820 (geneExprCor) ENSDARG00000008049	0.830970936744318
ENSDARG00000012949 (geneExprCor) ENSDARG00000004735	0.806417564440876
ENSDARG00000013351 (geneExprCor) ENSDARG00000004588	0.843393790425587
ENSDARG00000013351 (geneExprCor) ENSDARG00000004735	0.818232631050779
ENSDARG00000013351 (geneExprCor) ENSDARG00000005551	0.854346466084232
ENSDARG00000013351 (geneExprCor) ENSDARG00000012820	0.858435830898064
ENSDARG00000014017 (geneExprCor) ENSDARG00000005551	0.887590352655452
ENSDARG00000014017 (geneExprCor) ENSDARG00000011094	0.827770076714192
ENSDARG00000014017 (geneExprCor) ENSDARG00000011510	0.820750810449013
ENSDARG00000014039 (geneExprCor) ENSDARG00000000887	0.868427099555711
ENSDARG00000014039 (geneExprCor) ENSDARG00000004874	0.875204543345682
ENSDARG00000014039 (geneExprCor) ENSDARG00000007601	0.907494193506907
ENSDARG00000014039 (geneExprCor) ENSDARG00000011932	0.811124010533454
ENSDARG00000014209 (geneExprCor) ENSDARG00000000887	0.952882474163825
ENSDARG00000014209 (geneExprCor) ENSDARG00000004874	0.883151762628212
ENSDARG00000014209 (geneExprCor) ENSDARG00000007601	0.913286759834761
ENSDARG00000014209 (geneExprCor) ENSDARG00000011932	0.898611966940571
ENSDARG00000014209 (geneExprCor) ENSDARG00000014039	0.892820355339026
ENSDARG00000015111 (geneExprCor) ENSDARG00000010487	0.844408738592293
