ID	Pop.total	Pop.term	Study.total	Study.term	Pop.family	Study.family	nparents	is.trivial	p	p.adjusted	p.min	name
ZFA:0009136	32520	342	633	34	6006	224	1	false	9.866406448765676E-8	1.0774115842052118E-4	0.0	"motile cell"
ZFA:0009309	32520	291	633	31	1693	80	4	false	2.076330935185575E-6	0.0022673533812226482	0.0	"leukocyte"
ZFA:0009081	32520	694	633	50	6006	224	2	false	2.2509047389629773E-6	0.002457987974947571	0.0	"mesenchymal cell"
ZFA:0005830	32520	629	633	46	6006	224	1	false	4.238725855592668E-6	0.004628688634307193	0.0	"hematopoietic cell"
ZFA:0001078	32520	146	633	18	7885	285	3	false	4.725163208084447E-6	0.005159878223228216	5.291941856E-315	"thymus"
ZFA:0000669	32520	98	633	14	8007	289	4	false	9.894666436041913E-6	0.01080497574815777	4.93375652627657E-229	"head kidney"
ZFA:0001077	32520	154	633	19	3524	145	4	false	1.1815057152157679E-5	0.012902042410156186	5.246009025111171E-274	"thymus primordium"
ZFA:0009014	32520	487	633	37	2990	117	3	false	2.0474143598127883E-5	0.022357764809155647	0.0	"hematopoietic stem cell"
ZFA:0009258	32520	516	633	39	2277	95	2	false	3.218319194990885E-5	0.03514404560930046	0.0	"angioblastic mesenchymal cell"
ZFA:0005029	32520	23	633	6	8697	311	3	false	1.2013292477560496E-4	0.13118515385496063	6.601480815722002E-69	"rostral blood island"
ZFA:0000818	32520	265	633	21	2148	82	1	false	6.075753867740923E-4	0.6634723223573088	0.0	"vagal neural crest"
ZFA:0000107	32520	4001	633	160	7787	261	4	false	6.558976088622952E-4	0.7162401888776264	0.0	"eye"
ZFA:0009141	32520	115	633	14	1373	67	4	false	8.248620948230918E-4	0.9007494075468162	5.856141357384665E-171	"macrophage"
ZFA:0009138	32520	1206	633	64	7296	266	2	false	8.346537895265295E-4	0.9114419381629703	0.0	"mesodermal cell"
ZFA:0001249	32520	117	633	12	7694	274	3	false	8.930095560172278E-4	0.9751664351708127	2.013576092153067E-262	"exocrine pancreas"
ZFA:0001369	32520	126	633	13	2442	100	2	false	0.0014988748303356024	1.0	8.797132236139382E-215	"anterior pancreatic bud"
ZFA:0001289	32520	155	633	14	2463	93	2	false	0.0016159140029432346	1.0	1.422916982757363E-250	"ciliary marginal zone"
ZFA:0000094	32520	143	633	13	8652	308	2	false	0.0017153763361016587	1.0	1.232401196E-315	"blood island"
