GeneID	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description
ENSDARG00000062262	0	0	-3.95687045483116	23	45958860	45970337	-1	protein_coding	ednrab	endothelin receptor type Ab [Source:ZFIN;Acc:ZDB-GENE-040426-2364]
ENSDARG00000045893	2.17893211051937e-244	2.14308867730133e-240	-3.10954194931744	25	20260077	20283617	-1	protein_coding	kctd15a	potassium channel tetramerization domain containing 15a [Source:ZFIN;Acc:ZDB-GENE-041010-105]
ENSDARG00000101407	2.97649272721949e-232	1.95168628123782e-228	-3.38549363750172	23	46240647	46250912	-1	protein_coding	tgm1l4	transglutaminase 1 like 4 [Source:ZFIN;Acc:ZDB-GENE-050913-29]
ENSDARG00000094041	3.79049940272095e-171	1.8640728437731e-167	-2.89059848142129	19	5450844	5456086	-1	protein_coding	krt17	keratin 17 [Source:ZFIN;Acc:ZDB-GENE-060503-86]
ENSDARG00000077467	2.72042674232468e-151	1.07027028896538e-147	-2.76987218334732	3	2013057	2022138	1	protein_coding	sox10	SRY (sex determining region Y)-box 10 [Source:ZFIN;Acc:ZDB-GENE-011207-1]
ENSDARG00000054616	4.0826631226122e-124	1.33850110474841e-120	-2.19983456562198	3	30790404	30795479	1	protein_coding	cldni	claudin i [Source:ZFIN;Acc:ZDB-GENE-010328-9]
ENSDARG00000034836	1.23442424108643e-115	3.46890846377303e-112	-2.27545446343907	8	7041426	7049959	-1	protein_coding	KRT84	keratin 84 [Source:HGNC Symbol;Acc:HGNC:6461]
ENSDARG00000059279	1.79197114016437e-107	4.40623303727167e-104	-1.35095118552025	24	8581299	8592141	-1	protein_coding	tfap2a	transcription factor AP-2 alpha [Source:ZFIN;Acc:ZDB-GENE-011212-6]
ENSDARG00000027611	1.22613801411055e-91	2.67992898617429e-88	-1.72349259342463	9	24412199	24431723	-1	protein_coding	sdpra	serum deprivation response a [Source:ZFIN;Acc:ZDB-GENE-090313-215]
ENSDARG00000100190	3.75729497517062e-91	7.39097494565812e-88	-1.99471938023915	1	58697974	58709503	-1	protein_coding	ENSDARG00000100190	
ENSDARG00000021720	4.88661426735483e-70	8.73859902301245e-67	-2.3510727158879	6	40186699	40314609	-1	protein_coding	col7a1	collagen, type VII, alpha 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2427]
ENSDARG00000058371	2.67607490510598e-67	4.38675578819498e-64	-1.44272671351009	23	10238226	10242488	-1	protein_coding	krt5	keratin 5 [Source:ZFIN;Acc:ZDB-GENE-991110-23]
ENSDARG00000090369	9.6077723852458e-66	1.45380377377054e-62	-1.89609637440545	3	36146118	36154684	1	protein_coding	zgc:86896	zgc:86896 [Source:ZFIN;Acc:ZDB-GENE-040625-80]
ENSDARG00000013310	8.21450410849253e-65	1.15419650227255e-61	-1.93060885959396	24	25768121	25843795	1	protein_coding	map3k15	mitogen-activated protein kinase kinase kinase 15 [Source:ZFIN;Acc:ZDB-GENE-091204-246]
ENSDARG00000045887	2.69888352962943e-64	3.53931586075604e-61	-2.24613380054078	10	38700055	38719558	1	protein_coding	mmp30	matrix metallopeptidase 30 [Source:ZFIN;Acc:ZDB-GENE-060421-5765]
ENSDARG00000042021	9.47531076872974e-63	1.16493023832302e-59	-1.87890650590986	18	14876157	14891923	-1	protein_coding	mapk12a	mitogen-activated protein kinase 12a [Source:ZFIN;Acc:ZDB-GENE-990415-257]
ENSDARG00000031782	7.14927605455179e-62	8.27255348641696e-59	-1.59212911497217	17	25463075	25531858	1	protein_coding	aim1a	absent in melanoma 1a [Source:ZFIN;Acc:ZDB-GENE-041008-100]
ENSDARG00000092947	7.42273419852833e-61	8.11181135662505e-58	-1.70802894007713	19	5445934	5464258	-1	protein_coding	cyt1	type I cytokeratin, enveloping layer [Source:ZFIN;Acc:ZDB-GENE-991008-6]
ENSDARG00000069888	1.05402669904262e-59	1.09125048404565e-56	-1.90880349511121	15	2691994	2693936	-1	protein_coding	cldna	claudin a [Source:ZFIN;Acc:ZDB-GENE-010328-1]
ENSDARG00000060682	2.25861769834758e-59	2.22146343720976e-56	-1.4753571155143	9	45790760	45802530	-1	protein_coding	agr1	anterior gradient 1 [Source:ZFIN;Acc:ZDB-GENE-030131-7249]
ENSDARG00000098949	2.55735156723272e-59	2.39550774662071e-56	2.15193206980885	3	43134641	43171972	-1	protein_coding	mslna	mesothelin a [Source:ZFIN;Acc:ZDB-GENE-120727-9]
ENSDARG00000079745	1.38772583045996e-57	1.24081612777172e-54	-0.93347110687694	8	4389210	4451542	-1	protein_coding	si:ch211-166a6.5	si:ch211-166a6.5 [Source:ZFIN;Acc:ZDB-GENE-030131-9913]
ENSDARG00000044167	1.85309972816038e-55	1.58488368489751e-52	-1.89841977562745	6	47845001	47867099	1	protein_coding	padi2	peptidyl arginine deiminase, type II [Source:ZFIN;Acc:ZDB-GENE-031116-67]
ENSDARG00000036832	2.92198533115035e-55	2.3949322270441e-52	-1.50198110500114	19	5439935	5452965	-1	protein_coding	cyt1l	type I cytokeratin, enveloping layer, like [Source:ZFIN;Acc:ZDB-GENE-061026-4]
ENSDARG00000044356	5.09044756076032e-54	4.00536775870865e-51	-1.27773899460081	6	28805219	28923664	1	protein_coding	tp63	tumor protein p63 [Source:ZFIN;Acc:ZDB-GENE-030819-1]
ENSDARG00000056938	8.51137458213534e-53	6.43950959250709e-50	-2.08512100355591	4	16348180	16356251	-1	protein_coding	kera	keratocan [Source:ZFIN;Acc:ZDB-GENE-041210-165]
ENSDARG00000098620	5.31567473239038e-51	3.8727643578093e-48	-1.8624151023528	1	58712641	58716435	-1	protein_coding	si:ch211-188p14.2	si:ch211-188p14.2 [Source:ZFIN;Acc:ZDB-GENE-121214-329]
ENSDARG00000014626	9.45504951236414e-50	6.64250996277553e-47	-1.19479238573019	12	5673443	5676963	1	protein_coding	dlx3b	distal-less homeobox 3b [Source:ZFIN;Acc:ZDB-GENE-980526-280]
ENSDARG00000045262	1.70208235579982e-49	1.15454006968752e-46	-1.28241325200899	5	62601211	62609558	-1	protein_coding	gsnb	gelsolin b [Source:ZFIN;Acc:ZDB-GENE-030131-8567]
ENSDARG00000057714	2.2155272116633e-48	1.45272119268763e-45	-1.92263093459465	4	2379441	2400951	1	protein_coding	cmah	cytidine monophospho-N-acetylneuraminic acid hydroxylase [Source:ZFIN;Acc:ZDB-GENE-040704-33]
ENSDARG00000034211	4.67548164699395e-48	2.96681933800058e-45	-1.44505069825012	22	26423303	26646980	1	protein_coding	capn2l	calpain 2, (m/II) large subunit, like [Source:ZFIN;Acc:ZDB-GENE-050417-341]
ENSDARG00000015506	7.74469476172291e-48	4.76080908305786e-45	-1.43155952090868	1	33860922	33880045	-1	protein_coding	klf5a	Kruppel-like factor 5a [Source:ZFIN;Acc:ZDB-GENE-090312-167]
ENSDARG00000094752	1.87256162880102e-47	1.11621696364075e-44	-1.64140345679385	8	16652658	16662200	-1	protein_coding	rpe65b	retinal pigment epithelium-specific protein 65b [Source:ZFIN;Acc:ZDB-GENE-050410-16]
ENSDARG00000008886	4.66264249713636e-47	2.69761295768145e-44	-1.17259089376097	1	48708480	48710893	1	protein_coding	msx1b	muscle segment homeobox 1b [Source:ZFIN;Acc:ZDB-GENE-980526-26]
ENSDARG00000007219	9.28311539462663e-47	5.21737608364858e-44	-0.984083752504495	13	36195256	36265670	-1	protein_coding	actn1	actinin, alpha 1 [Source:ZFIN;Acc:ZDB-GENE-081113-4]
ENSDARG00000101423	1.44532472105278e-45	7.89749516328588e-43	-1.50966916621782	15	98232	104338	-1	protein_coding	cyp2y3	cytochrome P450, family 2, subfamily Y, polypeptide 3 [Source:ZFIN;Acc:ZDB-GENE-050522-490]
ENSDARG00000099448	2.44495159033652e-43	1.29985520901377e-40	-1.196242990562	16	35952156	35985282	1	protein_coding	sh3d21	SH3 domain containing 21 [Source:ZFIN;Acc:ZDB-GENE-051120-57]
ENSDARG00000061736	6.44972140701514e-42	3.3387492051946e-39	-1.53466782802582	17	20680225	20877630	-1	protein_coding	ank3a	ankyrin 3a [Source:ZFIN;Acc:ZDB-GENE-060621-1]
ENSDARG00000079543	4.64888943404216e-41	2.34482830915495e-38	1.7882009831906	16	44333824	44360764	1	protein_coding	dpys	dihydropyrimidinase [Source:ZFIN;Acc:ZDB-GENE-070508-1]
ENSDARG00000101164	1.69204729575753e-40	8.32106558871161e-38	-1.7638186008869	25	5162128	5172508	1	protein_coding	NANS (1 of many)	N-acetylneuraminate synthase [Source:HGNC Symbol;Acc:HGNC:19237]
ENSDARG00000041339	3.67653418205961e-40	1.76392936329987e-37	-1.28423471875752	9	48309686	48342569	1	protein_coding	zgc:92380	zgc:92380 [Source:ZFIN;Acc:ZDB-GENE-040801-221]
ENSDARG00000070494	2.02922527442483e-39	9.50402151743117e-37	-0.838975911120621	20	22535507	22576582	-1	protein_coding	pdgfra	platelet-derived growth factor receptor, alpha polypeptide [Source:ZFIN;Acc:ZDB-GENE-990415-208]
ENSDARG00000044132	2.9436695356407e-38	1.34662612640903e-35	-1.77856881020743	22	10424921	10430198	-1	protein_coding	ogn	osteoglycin [Source:ZFIN;Acc:ZDB-GENE-050208-650]
ENSDARG00000100431	1.10463175163609e-37	4.93845708782579e-35	-1.76404001357388	19	17451427	17459867	1	protein_coding	spaca4l	sperm acrosome associated 4 like [Source:ZFIN;Acc:ZDB-GENE-101011-2]
ENSDARG00000101023	1.10849483945292e-35	4.84560044152853e-33	-1.48902730187927	21	41283835	41286879	-1	protein_coding	msx2b	muscle segment homeobox 2b [Source:ZFIN;Acc:ZDB-GENE-980526-492]
ENSDARG00000012972	5.57014591477416e-35	2.38196391933745e-32	-0.9694218793367	13	33497194	33499882	1	protein_coding	cfl1l	cofilin 1 (non-muscle), like [Source:ZFIN;Acc:ZDB-GENE-040426-2770]
ENSDARG00000017615	4.86136166986998e-34	2.03463500868112e-31	-1.59531473558521	10	21905706	22087549	-1	protein_coding	tlx3b	T-cell leukemia, homeobox 3b [Source:ZFIN;Acc:ZDB-GENE-021021-1]
ENSDARG00000022807	5.17042290339464e-34	2.11890393609742e-31	-1.25051813140308	16	13534374	13563698	1	protein_coding	ENSDARG00000022807	
ENSDARG00000071196	6.96845808336337e-34	2.79748038689471e-31	-0.732662326939949	6	8472273	8501227	-1	protein_coding	sdprb	serum deprivation response b [Source:ZFIN;Acc:ZDB-GENE-040912-149]
ENSDARG00000046148	9.25301611081162e-34	3.64032159831551e-31	-1.22847641627074	16	29763942	29779166	-1	protein_coding	tnfaip8l2b	tumor necrosis factor, alpha-induced protein 8-like 2b [Source:ZFIN;Acc:ZDB-GENE-040426-1359]
ENSDARG00000079964	1.32724202724965e-33	5.0259229721644e-31	-1.20835902510217	9	3425857	3429216	-1	protein_coding	dlx2a	distal-less homeobox 2a [Source:ZFIN;Acc:ZDB-GENE-980526-212]
